localId,anio_construccion,anio_ultima_reforma,uso
000500500YJ26D,1970,1990,3_industrial
000500500YJ26F,1986,1986,1_residential
000500500YJ26H,1949,1949,3_industrial
000500500YJ27E,1965,2010,3_industrial
000500500YJ35A,1930,1930,1_residential
000500600YJ26D,1975,1980,3_industrial
000500600YJ26F,1930,1930,1_residential
000500600YJ26H,1960,1960,3_industrial
000500600YJ27E,1910,1910,1_residential
000500700YJ26D,1975,1975,3_industrial
000500700YJ26F,1972,1972,1_residential
000500700YJ26H,1927,2004,1_residential
000500700YJ27E,1910,1910,1_residential
000500800YJ26D,1920,1920,1_residential
000500800YJ26F,1972,1985,1_residential
000500800YJ27E,1900,1900,1_residential
000500900YJ26D,1920,1920,1_residential
000500900YJ26F,1965,1965,1_residential
000500900YJ26H,1970,2004,4_3_publicServices
000500900YJ27E,1973,1973,3_industrial
000501000YJ26F,1930,1930,1_residential
000501000YJ26H,1908,1908,1_residential
000501000YJ27E,1890,1890,1_residential
000501100YJ26F,1990,1990,3_industrial
000501100YJ27E,1950,1950,1_residential
000501200YJ26H,1910,1910,1_residential
000501200YJ27E,1930,1930,1_residential
000501300YJ26H,1923,1923,1_residential
000501300YJ27E,1930,1930,1_residential
000501400YJ26H,1889,1889,1_residential
000501400YJ27E,1930,1930,3_industrial
000501500YJ26F,1976,1976,4_2_retail
000501500YJ27E,1930,1930,3_industrial
000501600YJ26F,1976,1976,4_2_retail
000501600YJ27E,1890,1890,1_residential
000501700YJ27E,1890,1890,1_residential
000501800YJ26F,1976,1976,1_residential
000501800YJ27E,1978,1978,3_industrial
000501900YJ26H,1889,1889,4_3_publicServices
000501900YJ27E,1920,1920,1_residential
000502000YJ26H,1910,1910,1_residential
000502000YJ27E,1940,1940,1_residential
000502100YJ26H,1922,1922,1_residential
000502100YJ27E,1940,1940,1_residential
000502200YJ26H,1922,1922,3_industrial
000502200YJ27E,1920,2010,1_residential
000502300YJ26H,1906,1995,1_residential
000502300YJ27E,1925,2010,1_residential
000502400YJ26H,1906,1906,1_residential
000502400YJ27E,1940,1940,1_residential
000502500YJ26H,1929,1929,1_residential
000502500YJ27E,1940,1940,1_residential
000502600YJ26H,1929,1929,1_residential
000502600YJ27E,1910,1910,1_residential
000502900YJ26H,1928,1995,1_residential
000503000YJ26H,1928,1928,3_industrial
000503100YJ26H,1910,1910,1_residential
000503200YJ26H,1924,1924,1_residential
000503300YJ26H,1908,1908,1_residential
000503400YJ26H,1904,1904,1_residential
000503500YJ26H,1920,1920,1_residential
000503600YJ26H,1889,1889,1_residential
000503700YJ26H,1922,1922,1_residential
000503800YJ26H,1916,1916,1_residential
000505600YJ26H,1958,1995,1_residential
000600100YJ26H,1900,1900,1_residential
000600100YJ27F,1975,1975,3_industrial
000600100YJ35G,1930,1930,2_agriculture
000600100YJ36A,1973,1973,3_industrial
000600200YJ26H,1920,1920,1_residential
000600200YJ27F,1890,1890,1_residential
000600200YJ27H,1930,1930,1_residential
000600200YJ36A,1975,1975,4_3_publicServices
000600300YJ26H,1900,1900,3_industrial
000600300YJ27F,1930,1930,1_residential
000600300YJ27H,1925,1999,1_residential
000600300YJ36A,1975,1975,4_3_publicServices
000600400YJ26H,1900,1900,1_residential
000600400YJ27F,1920,1920,1_residential
000600400YJ27H,1967,1967,1_residential
000600400YJ36A,1975,1975,4_3_publicServices
000600500YJ27F,1890,2006,1_residential
000600500YJ27H,1930,2008,1_residential
000600500YJ36A,1973,1973,3_industrial
000600600YJ27F,1890,1890,1_residential
000600600YJ27H,1930,1930,1_residential
000600700YJ27F,1890,1890,1_residential
000600700YJ27H,1930,1930,1_residential
000600800YJ26G,1900,1900,1_residential
000600800YJ27F,1960,1960,3_industrial
000600900YJ26H,1890,1890,1_residential
000600900YJ27F,1890,1890,1_residential
000601000YJ26H,1940,1940,3_industrial
000601000YJ27F,1940,1940,3_industrial
000601100YJ27F,1940,1940,1_residential
000601200YJ26H,1890,1890,1_residential
000601200YJ27F,1890,2004,1_residential
000601300YJ26H,1890,1890,1_residential
000601300YJ27F,1890,1890,1_residential
000601400YJ26H,1860,1860,1_residential
000601400YJ27F,1930,1930,1_residential
000601500YJ26H,1880,1880,1_residential
000601600YJ26H,1880,1880,1_residential
000601700YJ26H,1890,1890,1_residential
000601800YJ26H,1975,1975,1_residential
000601900YJ26H,1940,1940,1_residential
000602100YJ27F,1910,2006,1_residential
000602200YJ27F,1890,1890,1_residential
000602300YJ27F,1890,1890,1_residential
000602400YJ27F,1890,2001,1_residential
000602500YJ27F,1930,2000,1_residential
000602600YJ27F,1930,1930,1_residential
000602700YJ27F,1890,1890,1_residential
000603000YJ27F,1970,1970,3_industrial
000603100YJ27F,1961,1961,1_residential
000603200YJ27F,1960,2000,1_residential
000603300YJ27F,1960,1960,1_residential
000603400YJ27F,1965,1965,1_residential
000603500YJ27F,1965,1965,1_residential
000603600YJ27F,1930,1930,1_residential
000700100YJ26F,1965,1965,3_industrial
000700100YJ26H,1930,1930,1_residential
000700100YJ27C,1974,1974,3_industrial
000700100YJ27F,1850,2006,1_residential
000700100YJ28A,1890,1890,1_residential
000700100YJ35E,1967,1967,4_2_retail
000700200YJ27C,1965,1965,3_industrial
000700200YJ27F,1850,1850,1_residential
000700200YJ28A,1976,1976,1_residential
000700300YJ28A,1940,1940,1_residential
000700400YJ27F,2003,2003,4_3_publicServices
000700500YJ27F,1850,1850,1_residential
000700600YJ27F,1850,1850,1_residential
000700700YJ26H,1910,1910,1_residential
000700700YJ27F,1850,1850,1_residential
000701100YJ26H,1930,1930,1_residential
000701200YJ26H,1940,1940,1_residential
000701300YJ26H,1900,1900,1_residential
000701400YJ26H,1890,1890,1_residential
000701500YJ26H,1890,1890,1_residential
000701600YJ26H,1900,1900,1_residential
000701700YJ26H,1910,1910,1_residential
000701800YJ26H,1880,1880,1_residential
000701900YJ26H,1880,1880,1_residential
000702000YJ26H,1956,1956,1_residential
000702100YJ26H,1956,1956,1_residential
000800100YJ26F,1920,1920,1_residential
000800100YJ26G,2010,2010,4_1_office
000800100YJ26H,1945,1945,1_residential
000800100YJ27C,1950,1950,1_residential
000800100YJ27D,1924,1924,1_residential
000800100YJ27H,1920,1920,1_residential
000800200YJ26F,1960,1960,1_residential
000800200YJ26H,1900,1900,1_residential
000800200YJ27C,1950,1950,1_residential
000800200YJ27D,1923,1923,1_residential
000800200YJ27H,1920,1920,1_residential
000800300YJ26F,1960,1960,1_residential
000800300YJ26H,1920,1920,1_residential
000800300YJ27C,1950,1950,1_residential
000800300YJ27D,1924,1924,1_residential
000800400YJ26H,1900,1900,1_residential
000800400YJ27C,1950,1950,1_residential
000800400YJ27H,1969,1969,3_industrial
000800500YJ26F,1900,1900,1_residential
000800500YJ26H,1965,1965,3_industrial
000800500YJ27C,1950,1950,1_residential
000800600YJ26F,1970,1970,1_residential
000800600YJ26H,1880,1880,1_residential
000800700YJ26H,1968,1968,1_residential
000800800YJ26H,1890,1890,1_residential
000800800YJ27C,1900,1900,1_residential
000800900YJ26F,1960,1990,1_residential
000800900YJ26H,1935,1935,1_residential
000800900YJ27C,1890,1890,1_residential
000801000YJ26F,1960,1990,1_residential
000801000YJ26H,1930,1930,1_residential
000801000YJ27C,1950,1950,1_residential
000801100YJ26H,1925,1925,1_residential
000801100YJ27C,1920,1920,3_industrial
000801200YJ26H,1972,1992,3_industrial
000801200YJ27C,1945,1945,3_industrial
000801300YJ26H,1890,1890,1_residential
000801300YJ27C,1910,1910,3_industrial
000801400YJ26H,1920,1920,1_residential
000801400YJ27C,1860,1860,1_residential
000801500YJ26H,1920,1920,1_residential
000801500YJ27C,1890,1890,1_residential
000801600YJ26H,1900,1900,1_residential
000801600YJ27C,1910,1910,1_residential
000801700YJ26H,1930,1930,1_residential
000801700YJ27C,1960,1960,3_industrial
000801800YJ26H,1950,1950,1_residential
000801900YJ26H,1959,1959,1_residential
000802000YJ26H,1945,1945,1_residential
000802100YJ26H,1920,1920,1_residential
000802200YJ26H,1930,1930,1_residential
000802300YJ26H,1880,1880,1_residential
000802400YJ26H,1890,1890,1_residential
000802500YJ26H,1900,1900,1_residential
000802600YJ26H,1940,1940,3_industrial
000802700YJ26H,1940,1940,3_industrial
000802800YJ26H,1910,1910,1_residential
000803100YJ26H,1910,1910,1_residential
000803200YJ26H,1890,1890,1_residential
000803300YJ26H,1910,2010,1_residential
000803400YJ26H,1910,2004,1_residential
000803500YJ26H,1880,1880,1_residential
000803600YJ26H,1890,1890,1_residential
